9.5698,11.616,0.3084,21.798,1.4516,41.297
8.222,10.613,0.30745,18.031,4.8262,43.524
21.743,6.8963,0.4108,13.488,1.4548,30.149
22.444,9.3495,0.32221,19.551,1.9215,20.591
26.7,5.8096,0.30475,11.448,3.1385,43.141
7.6236,5.5145,0.5547,16.153,4.6147,38.522
16.544,5.1774,0.48777,22.674,4.8229,23.081
28.897,7.0493,0.39686,11.465,4.9409,31.559
33.543,5.0748,0.52241,12.021,2.1771,21.875
6.6668,11.384,0.48966,17.058,4.4732,22.682
12.846,7.6225,0.56368,21.412,2.7523,26.197
7.6106,6.8119,0.53881,23.291,3.929,24.549
7.8471,8.793,0.33309,17.983,2.8652,42.497
23.811,6.4272,0.50403,13.896,4.1784,32.687
16.196,11.828,0.58858,16.625,2.9262,37.585
10.763,10.896,0.31226,22.807,3.1458,40.802
8.9349,7.4261,0.5019,19.344,1.2158,41.353
20.593,6.4691,0.49578,22.626,1.8318,28.429
16.545,6.9092,0.39957,11.373,4.5003,43.838
10.081,9.779,0.30788,15.412,1.3706,29.782
16.933,5.2775,0.51553,11.586,4.7544,35.369
25.751,6.3219,0.31071,18.172,1.4633,37.217
21.05,8.1231,0.33714,16.766,2.1963,49.606
16.269,5.9971,0.36262,18.491,1.9555,25.976
14.25,5.0977,0.5976,12.601,2.3635,28.411
22.037,5.5365,0.57803,13.884,2.7618,41.938
16.18,9.9456,0.35978,17.923,1.9175,46.894
16.75,7.5552,0.45855,13.044,3.0236,30.301
20.428,7.8543,0.36984,18.292,2.2849,44.498
14.743,10.388,0.40599,23.071,3.671,40.191
23.65,8.3126,0.46486,22.267,1.6367,28.59
10.349,11.722,0.47935,21.545,2.5542,34.944
13.557,8.5023,0.42465,19.492,2.4087,30.947
10.61,9.1527,0.47044,23.639,1.8801,21.096
27.199,6.7823,0.388,9.0488,1.7358,38.763
23.487,7.5496,0.38681,17.788,2.9525,23.97
20.1,5.5244,0.58818,10.321,3.4934,35.455
15.691,5.4104,0.59523,14.472,4.2623,26.05
10.465,7.8285,0.41349,14.701,2.1847,43.729
14.675,10.504,0.35469,11.47,2.9636,40.764
24.75,9.528,0.41703,14.954,2.3875,23.901
